,entity_id,nace_level_1_code,nace_level_2_code,revenue_per_sector
0,3169,A,1,1922486500.366016
1,3742,C,10,589490000.0
2,2728,C,10,869267000.0
3,2199,C,10,1605096000.0
4,10307,C,10,38816033.1645
5,97,C,10,1270000000.0
6,1529,C,14,654571000.0
7,910,C,16,998842000.0
8,1076,C,20,1670000000.0
9,3616,C,20,739900000.0
10,3169,C,20,1922486500.366016
11,2744,C,20,1877500000.0
12,3227,C,20,9524499000.0
13,910,C,20,219258000.0
14,1277,C,17,2965400000.0
15,3542,C,20,7845223152.1406
16,4213,C,18,219700000.0
17,107,C,20,320493000.0
18,10727,C,20,2900266310.2000003
19,10307,C,21,722683966.8355
20,10727,C,21,8999733689.800001
21,2067,C,21,341040000.0
22,4130,C,23,2644040000.0
23,3551,C,26,4710000000.0
24,1863,C,26,3519224000.0
25,2986,C,27,538782000.0
26,1495,C,28,2247316000.0
27,3169,E,39,140390998.944208
28,10727,G,46,8999733689.800001
29,3542,C,28,3367999445.9560003
30,3749,C,32,15286367.22
31,3598,C,32,1440000000.0
32,4058,C,29,5730573610.679999
33,1691,C,29,3423582090.36
34,1676,C,32,23200000000.0
35,3542,D,35,887377401.9034
36,4082,C,33,5037500000.0
37,1275,C,33,140976635.7944
38,2210,C,33,5237161000.0
39,10699,F,43,238872780.0
40,1535,G,45,682590000.0
41,10615,G,46,694400000.349
42,4102,G,47,1415400000.0
43,2349,G,47,1336750000.0
44,10727,G,47,2900266310.2000003
45,1535,G,47,682590000.0
46,10615,G,47,301200000.5655
47,3169,H,49,280781997.888416
48,3169,H,50,140390998.944208
49,3169,H,52,140390998.944208
50,10615,H,52,4213899999.0855002
51,10773,H,53,6147350000.0
52,2578,J,58,287694191.837176
53,1141,J,58,148666666.741
54,2258,J,58,449000000.0
55,10773,J,58,6147350000.0
56,3381,J,58,1000300000.0
57,10699,J,58,168616080.0
58,2349,J,61,1336750000.0
59,3749,J,61,3004713632.78
60,1463,J,61,82192697.86410001
61,2578,J,62,287694191.837176
62,1691,J,62,56417909.63999999
63,3490,J,63,1051830000.0
64,4058,K,64,279125356.44
65,1275,K,65,140976635.7944
66,1535,K,66,89670000.0
67,68,K,66,1496137000.0
68,2467,M,69,429245115.030128
69,2578,M,70,308577617.209614
70,2467,M,70,1486322884.969872
71,10699,M,70,14051340.0
72,10699,M,71,515215800.00000006
73,2067,M,72,246960000.0
74,1535,M,73,375150000.0
75,3227,M,74,1950801000.0000002
76,1275,N,77,924846727.2044
77,2748,P,85,1584652000.0
78,1141,P,85,74333333.259
79,2266,Q,86,12100000000.0
80,1463,R,92,7795907302.1359005
81,1596,R,92,1175700000.0
82,2301,R,93,566492000.0
83,4058,R,93,670301032.88
